,picture_url,bookname
0,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-52057-9/72jpg/52057_s300.jpg,科技改变中国丛书（2019年主题出版重点项目）
1,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-44355-7/72jpg/44355_s300.jpg,文明之光（中华优秀出版物奖图书奖）
2,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-51316-8/72jpg/51316_s300.jpg,奇妙量子世界（2019年度“中国好书”）
3,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-26039-0/72jpg/26039_s300.jpg,科学家带你去探险丛书（国家科技进步二等奖）
4,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-38358-7/72jpg/38358_s300.jpg,空间多维协同传输理论与关键技术（第四届中国出版政府奖图书奖）
5,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-57094-9/72jpg/57094_s300.jpg,科学与忠诚：钱学森的人生答卷
6,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-53878-9/72jpg/53878_s300.jpg,计量单位进化史 从度量身体到度量宇宙
7,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-56607-2/72jpg/56607_s300.jpg,一说万物 现代物理学百年漫谈
